event_message,id,identifier,method,path,search,status_code,timestamp
GET | 200 | 14.36.150.116 | 9c82cb7db990d1e3 | https://grfkmbrhbvcyahflqttl.supabase.co/rest/v1/E_ops_review_queue_items?select=*%2CD_conv_sessions%21inner%28id%2Corg_id%29&D_conv_sessions.org_id=eq.8ad81b6b-3210-40dd-8e00-9a43a4395923&order=created_at.desc&offset=0&limit=50 | node,c08ece1b-af86-47d7-9403-e3a31e435c7b,grfkmbrhbvcyahflqttl,GET,/rest/v1/E_ops_review_queue_items,?select=*%2CD_conv_sessions%21inner%28id%2Corg_id%29&D_conv_sessions.org_id=eq.8ad81b6b-3210-40dd-8e00-9a43a4395923&order=created_at.desc&offset=0&limit=50,200,1770130795163000
GET | 200 | 14.36.150.116 | 9c82cb0f3c32aa56 | https://grfkmbrhbvcyahflqttl.supabase.co/rest/v1/D_conv_sessions?select=id%2Corg_id&id=eq.3482461e-e3b4-4632-8117-dfa6d1563db8&org_id=eq.8ad81b6b-3210-40dd-8e00-9a43a4395923 | node,54f5e948-5c82-40d4-9ed6-03801dfab607,grfkmbrhbvcyahflqttl,GET,/rest/v1/D_conv_sessions,?select=id%2Corg_id&id=eq.3482461e-e3b4-4632-8117-dfa6d1563db8&org_id=eq.8ad81b6b-3210-40dd-8e00-9a43a4395923,200,1770130777478000
GET | 200 | 14.36.150.116 | 9c82cb0e2b5daa56 | https://grfkmbrhbvcyahflqttl.supabase.co/rest/v1/A_iam_user_access_maps?select=org_id%2Corg_role&user_id=eq.fa7baaa2-806f-4457-88f0-7d29f802d126 | node,e2184957-ca3e-435e-98ca-0bee7f3a02ce,grfkmbrhbvcyahflqttl,GET,/rest/v1/A_iam_user_access_maps,?select=org_id%2Corg_role&user_id=eq.fa7baaa2-806f-4457-88f0-7d29f802d126,200,1770130777316000
GET | 200 | 14.36.150.116 | 9c82cb0d2a70aa56 | https://grfkmbrhbvcyahflqttl.supabase.co/auth/v1/user | node,3a0cd465-af03-4d2d-9744-f84c1b00aa9e,grfkmbrhbvcyahflqttl,GET,/auth/v1/user,null,200,1770130777152000
POST | 201 | 14.36.150.116 | 9c82cb0bfcf5eaa9 | https://grfkmbrhbvcyahflqttl.supabase.co/rest/v1/F_audit_events | node,edb118c4-461d-46a2-816e-fba366c70a9e,grfkmbrhbvcyahflqttl,POST,/rest/v1/F_audit_events,null,201,1770130776961000
POST | 201 | 14.36.150.116 | 9c82cb0ae824aa56 | https://grfkmbrhbvcyahflqttl.supabase.co/rest/v1/F_audit_turn_specs?on_conflict=turn_id | node,469dc58e-332b-4c6e-9952-3abb47cdfa8f,grfkmbrhbvcyahflqttl,POST,/rest/v1/F_audit_turn_specs,?on_conflict=turn_id,201,1770130776791000
POST | 201 | 14.36.150.116 | 9c82cb09e8b6eaa9 | https://grfkmbrhbvcyahflqttl.supabase.co/rest/v1/D_conv_turns?select=* | node,ffddbcff-975b-42ea-8edc-e424089cef67,grfkmbrhbvcyahflqttl,POST,/rest/v1/D_conv_turns,?select=*,201,1770130776630000
POST | 201 | 14.36.150.116 | 9c82cb08bdd4aa56 | https://grfkmbrhbvcyahflqttl.supabase.co/rest/v1/F_audit_mcp_tools | node,286bdc5a-c876-446f-9b09-ef812e8ef0e1,grfkmbrhbvcyahflqttl,POST,/rest/v1/F_audit_mcp_tools,null,201,1770130776448000
GET | 200 | 14.36.150.116 | 9c82cb07ac80aa56 | https://grfkmbrhbvcyahflqttl.supabase.co/rest/v1/A_iam_auth_settings?select=id%2Corg_id%2Cuser_id%2Cproviders&org_id=eq.8ad81b6b-3210-40dd-8e00-9a43a4395923&user_id=eq.fa7baaa2-806f-4457-88f0-7d29f802d126 | node,e1d87a1d-73ff-4886-9597-cb947026d874,grfkmbrhbvcyahflqttl,GET,/rest/v1/A_iam_auth_settings,?select=id%2Corg_id%2Cuser_id%2Cproviders&org_id=eq.8ad81b6b-3210-40dd-8e00-9a43a4395923&user_id=eq.fa7baaa2-806f-4457-88f0-7d29f802d126,200,1770130776272000
GET | 200 | 14.36.150.116 | 9c82cb068a7beaa9 | https://grfkmbrhbvcyahflqttl.supabase.co/rest/v1/C_mcp_tools?select=id%2Cname%2Cprovider_key%2Cscope_key%2Cendpoint_path%2Chttp_method%2Cversion%2Cschema_json%2Cmasking_rules%2Cconditions&provider_key=eq.cafe24&name=eq.read_product&is_active=eq.true | node,9c4a6d5a-b18f-4a5a-bb9d-32c8d6bdb0be,grfkmbrhbvcyahflqttl,GET,/rest/v1/C_mcp_tools,?select=id%2Cname%2Cprovider_key%2Cscope_key%2Cendpoint_path%2Chttp_method%2Cversion%2Cschema_json%2Cmasking_rules%2Cconditions&provider_key=eq.cafe24&name=eq.read_product&is_active=eq.true,200,1770130776099000
POST | 201 | 14.36.150.116 | 9c82cb056a1eaa56 | https://grfkmbrhbvcyahflqttl.supabase.co/rest/v1/F_audit_mcp_tools | node,36f25e2c-624a-43a2-b1be-4ed653686882,grfkmbrhbvcyahflqttl,POST,/rest/v1/F_audit_mcp_tools,null,201,1770130775920000
GET | 200 | 14.36.150.116 | 9c82cb036b8deaa9 | https://grfkmbrhbvcyahflqttl.supabase.co/rest/v1/A_iam_auth_settings?select=id%2Corg_id%2Cuser_id%2Cproviders&org_id=eq.8ad81b6b-3210-40dd-8e00-9a43a4395923&user_id=eq.fa7baaa2-806f-4457-88f0-7d29f802d126 | node,0b8d295f-f784-493c-837e-417be4513032,grfkmbrhbvcyahflqttl,GET,/rest/v1/A_iam_auth_settings,?select=id%2Corg_id%2Cuser_id%2Cproviders&org_id=eq.8ad81b6b-3210-40dd-8e00-9a43a4395923&user_id=eq.fa7baaa2-806f-4457-88f0-7d29f802d126,200,1770130775590000
GET | 200 | 14.36.150.116 | 9c82cb025f27aa56 | https://grfkmbrhbvcyahflqttl.supabase.co/rest/v1/G_com_product_aliases?select=org_id%2Calias%2Cproduct_id%2Cmatch_type%2Cpriority%2Cis_active&is_active=eq.true&or=%28org_id.eq.8ad81b6b-3210-40dd-8e00-9a43a4395923%2Corg_id.is.null%29 | node,062d2dbb-93ca-42c6-8bbf-9af89a5682c1,grfkmbrhbvcyahflqttl,GET,/rest/v1/G_com_product_aliases,?select=org_id%2Calias%2Cproduct_id%2Cmatch_type%2Cpriority%2Cis_active&is_active=eq.true&or=%28org_id.eq.8ad81b6b-3210-40dd-8e00-9a43a4395923%2Corg_id.is.null%29,200,1770130775428000
GET | 200 | 14.36.150.116 | 9c82cb014f1aeaa9 | https://grfkmbrhbvcyahflqttl.supabase.co/rest/v1/C_mcp_tools?select=id%2Cname%2Cprovider_key%2Cscope_key%2Cendpoint_path%2Chttp_method%2Cversion%2Cschema_json%2Cmasking_rules%2Cconditions&provider_key=eq.cafe24&name=eq.resolve_product&is_active=eq.true | node,da56c3d1-2541-4b7a-bed3-52b3e8eeb462,grfkmbrhbvcyahflqttl,GET,/rest/v1/C_mcp_tools,?select=id%2Cname%2Cprovider_key%2Cscope_key%2Cendpoint_path%2Chttp_method%2Cversion%2Cschema_json%2Cmasking_rules%2Cconditions&provider_key=eq.cafe24&name=eq.resolve_product&is_active=eq.true,200,1770130775258000
POST | 201 | 14.36.150.116 | 9c82cb001d2eaa56 | https://grfkmbrhbvcyahflqttl.supabase.co/rest/v1/F_audit_events | node,6a0c5fb3-d7de-41df-a786-e631c699edf8,grfkmbrhbvcyahflqttl,POST,/rest/v1/F_audit_events,null,201,1770130775062000
GET | 200 | 14.36.150.116 | 9c82caff19d2eaa9 | https://grfkmbrhbvcyahflqttl.supabase.co/rest/v1/G_com_product_aliases?select=org_id%2Calias%2Cproduct_id%2Cmatch_type%2Cpriority%2Cis_active&is_active=eq.true&or=%28org_id.eq.8ad81b6b-3210-40dd-8e00-9a43a4395923%2Corg_id.is.null%29 | node,6ad7d0ec-0536-4393-8d84-aea67fce1da9,grfkmbrhbvcyahflqttl,GET,/rest/v1/G_com_product_aliases,?select=org_id%2Calias%2Cproduct_id%2Cmatch_type%2Cpriority%2Cis_active&is_active=eq.true&or=%28org_id.eq.8ad81b6b-3210-40dd-8e00-9a43a4395923%2Corg_id.is.null%29,200,1770130774898000
POST | 201 | 14.36.150.116 | 9c82cafdeb6aaa56 | https://grfkmbrhbvcyahflqttl.supabase.co/rest/v1/F_audit_events | node,b9e364dc-4285-4e2a-b36d-4f8d28ff1457,grfkmbrhbvcyahflqttl,POST,/rest/v1/F_audit_events,null,201,1770130774714000
GET | 200 | 14.36.150.116 | 9c82caf76cb8aa56 | https://grfkmbrhbvcyahflqttl.supabase.co/rest/v1/D_conv_turns?select=*&session_id=eq.3482461e-e3b4-4632-8117-dfa6d1563db8&order=seq.desc&limit=15 | node,490de3b3-7902-4326-84f4-d3cc2a858c63,grfkmbrhbvcyahflqttl,GET,/rest/v1/D_conv_turns,?select=*&session_id=eq.3482461e-e3b4-4632-8117-dfa6d1563db8&order=seq.desc&limit=15,200,1770130773678000
POST | 201 | 14.36.150.116 | 9c82caf66bd3aa56 | https://grfkmbrhbvcyahflqttl.supabase.co/rest/v1/D_conv_sessions?select=* | node,0f0c2432-a77c-4e73-a4b6-c12444e60e4c,grfkmbrhbvcyahflqttl,POST,/rest/v1/D_conv_sessions,?select=*,201,1770130773511000
